,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
142,  The New Daughter,2009,5.3,/title/tt0951335/,15000000.0,579626.0,-14420374.0,2010-10-07,10
143,  Rammbock: Berlin Undead,2010,6.3,/title/tt1583356/,,12699.0,,2011-05-04,05
144,  Legion,2010,5.2,/title/tt1038686/,26000000.0,67918658.0,41918658.0,2010-01-22,01
145,  7 Days,2010,6.5,/title/tt0445054/,2550000.0,1259.0,-2548741.0,2010-11-12,11
146,  Tucker and Dale vs Evil,2010,7.5,/title/tt1465522/,,5224938.0,,2010-12-09,12
147,  Where? Wolf?,2010,2.9,/title/tt1570619/,,5073304.0,,2010-01-22,01
148,  YellowBrickRoad,2010,4.7,/title/tt1398428/,500000.0,,,2010-01-23,01
149,  The Wolfman,2010,5.8,/title/tt0780653/,150000000.0,139789765.0,-10210235.0,2010-02-12,02
150,  The Final (I),2010,5.3,/title/tt1390535/,1000000.0,28491.0,-971509.0,2013-02-07,02
151,  Dante's Inferno: An Animated Epic,2010,6.5,/title/tt1401113/,,,,2010-02-09,02
152,  The Crazies,2010,6.5,/title/tt0455407/,20000000.0,54806823.0,34806823.0,2010-02-26,02
153,  Birdemic: Shock and Terror,2010,1.7,/title/tt1316037/,10000.0,,,2010-02-27,02
154,  A Serbian Film,2010,5,/title/tt1273235/,,1541.0,,2010-06-16,06
155,  6 Souls,2010,6,/title/tt1179069/,22000000.0,3205167.0,-18794833.0,2013-03-01,03
156,  Dream Home,2010,6.6,/title/tt1407972/,,383158.0,,2010-05-13,05
157,  A Nightmare on Elm Street,2010,5.2,/title/tt1179056/,35000000.0,115695182.0,80695182.0,2010-04-30,04
158,  I Spit on Your Grave,2010,6.2,/title/tt1242432/,2000000.0,1278650.0,-721350.0,2010-06-17,06
159,  Chatroom,2010,5.4,/title/tt1319704/,,683912.0,,2010-12-22,12
160,  Bedevilled,2010,7.3,/title/tt1646959/,700000.0,1129687.0,429687.0,2010-09-02,09
161,  Rubber,2010,5.7,/title/tt1612774/,500000.0,101729.0,-398271.0,2010-11-10,11
162,  La casa muda,2010,5.3,/title/tt1646973/,6000.0,1149327.0,1143327.0,2011-03-04,03
163,  The Reef,2010,5.8,/title/tt1320291/,,67753.0,,2011-03-17,03
164,  Black Death,2010,6.4,/title/tt1181791/,,382879.0,,2010-06-11,06
165,  The Last Exorcism,2010,5.7,/title/tt1320244/,1800000.0,69432527.0,67632527.0,2010-08-27,08
166,  Bereavement,2010,5,/title/tt1100051/,3600000.0,43712.0,-3556288.0,2010-07-16,07
167,  The Clinic (II),2010,5.3,/title/tt1345772/,,,,2012-07-25,07
168,  The Shrine,2010,5.5,/title/tt1341710/,1125000.0,102344.0,-1022656.0,2010-10-14,10
169,  Rare Exports,2010,6.6,/title/tt1401143/,2025920.0,4087363.0,2061443.0,2010-12-03,12
170,  Burning Bright,2010,5.8,/title/tt1244658/,,58147.0,,2012-05-02,05
171,  Vampires Suck,2010,3.4,/title/tt1666186/,20000000.0,80547866.0,60547866.0,2010-08-18,08
172,  Piranha 3D,2010,5.5,/title/tt0464154/,24000000.0,83188165.0,59188165.0,2010-08-20,08
173,  Devil's Playground,2010,5.1,/title/tt1453245/,2400000.0,,,,
174,  Hatchet II,2010,5.4,/title/tt1270835/,800000.0,156190.0,-643810.0,,
175,  Primal,2010,4.8,/title/tt1438534/,,,,2010-09-23,09
176,  The Tortured,2010,5.4,/title/tt1017464/,8500000.0,319421.0,-8180579.0,2012-09-28,09
177,  The Dead,2010,5.7,/title/tt1386925/,,4891.0,,2011-10-01,10
178,  Resident Evil: Afterlife,2010,5.8,/title/tt1220634/,60000000.0,300228084.0,240228084.0,2010-09-10,09
179,  The Last Circus,2010,6.5,/title/tt1572491/,7280000.0,3604598.0,-3675402.0,2010-12-17,12
180,  Los ojos de Julia,2010,6.7,/title/tt1512685/,5200000.0,16934369.0,11734369.0,2010-10-29,10
181,  Vanishing on 7th Street,2010,4.9,/title/tt1452628/,10000000.0,1671196.0,-8328804.0,2011-02-05,02
182,  Let Me In (I),2010,7.1,/title/tt1228987/,20000000.0,27093592.0,7093592.0,2010-10-01,10
183,  The Ward,2010,5.5,/title/tt1369706/,10000000.0,5343820.0,-4656180.0,2011-07-08,07
184,  Insidious (I),2010,6.8,/title/tt1591095/,1500000.0,100106454.0,98606454.0,2011-04-01,04
185,  Devil,2010,6.3,/title/tt1314655/,10000000.0,62695489.0,52695489.0,2010-09-17,09
186,  Stake Land,2010,6.4,/title/tt1464580/,650000.0,405380.0,-244620.0,2011-06-17,06
187,  Chain Letter,2010,4.1,/title/tt1148200/,3000000.0,855185.0,-2144815.0,2010-11-11,11
188,  Mother's Day (I),2010,6.2,/title/tt1434435/,11000000.0,863044.0,-10136956.0,2011-05-05,05
189,  Kidnapped,2010,6.4,/title/tt1629377/,,969024.0,,2011-02-25,02
190,  Altitude,2010,4.8,/title/tt1407049/,,,,2010-10-10,10
191,  My Soul to Take,2010,4.7,/title/tt0872230/,25000000.0,21500813.0,-3499187.0,2010-10-08,10
192,  We Are the Night,2010,6.2,/title/tt1692504/,6760000.0,2405336.0,-4354664.0,2010-10-28,10
193,  Atrocious,2010,5,/title/tt1734067/,,4472.0,,2011-08-17,08
194,  Paranormal Activity 2,2010,5.7,/title/tt1536044/,3000000.0,177512032.0,174512032.0,2010-10-22,10
195,  Saw 3D,2010,5.5,/title/tt1477076/,20000000.0,136151680.0,116151680.0,2010-10-29,10
196,  Trollhunter,2010,6.9,/title/tt1740707/,1990000.0,5341098.0,3351098.0,2010-10-29,10
197,  Saint,2010,5.6,/title/tt1167675/,,3797890.0,,2011-12-18,12
198,  Don't Be Afraid of the Dark,2010,5.5,/title/tt1270761/,25000000.0,38269529.0,13269529.0,2011-08-26,08
199,  Victim (I),2010,5.9,/title/tt0918575/,1000000.0,,,2010-11-17,11
200,  Paranormal Activity 2: Tokyo Night,2010,5.1,/title/tt1728179/,,475320.0,,2010-11-20,11
201,  Gantz,2010,6.4,/title/tt1525835/,22000000.0,40568961.0,18568961.0,2011-01-29,01
202,  Beyond the Black Rainbow,2010,5.9,/title/tt1534085/,825000.0,56491.0,-768509.0,2011-04-22,04
