,Unnamed: 0,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
104,161,  Rubber,2010,5.7,/title/tt1612774/,500000.0,101729.0,-398271.0,2010-11-10,11.0
105,162,  La casa muda,2010,5.3,/title/tt1646973/,6000.0,1149327.0,1143327.0,2011-03-04,3.0
106,165,  The Last Exorcism,2010,5.7,/title/tt1320244/,1800000.0,69432527.0,67632527.0,2010-08-27,8.0
107,166,  Bereavement,2010,5.0,/title/tt1100051/,3600000.0,43712.0,-3556288.0,2010-07-16,7.0
108,168,  The Shrine,2010,5.5,/title/tt1341710/,1125000.0,102344.0,-1022656.0,2010-10-14,10.0
109,169,  Rare Exports,2010,6.6,/title/tt1401143/,2025920.0,4087363.0,2061443.0,2010-12-03,12.0
110,171,  Vampires Suck,2010,3.4,/title/tt1666186/,20000000.0,80547866.0,60547866.0,2010-08-18,8.0
111,172,  Piranha 3D,2010,5.5,/title/tt0464154/,24000000.0,83188165.0,59188165.0,2010-08-20,8.0
112,174,  Hatchet II,2010,5.4,/title/tt1270835/,800000.0,156190.0,-643810.0,,
113,176,  The Tortured,2010,5.4,/title/tt1017464/,8500000.0,319421.0,-8180579.0,2012-09-28,9.0
114,178,  Resident Evil: Afterlife,2010,5.8,/title/tt1220634/,60000000.0,300228084.0,240228084.0,2010-09-10,9.0
115,179,  The Last Circus,2010,6.5,/title/tt1572491/,7280000.0,3604598.0,-3675402.0,2010-12-17,12.0
116,180,  Los ojos de Julia,2010,6.7,/title/tt1512685/,5200000.0,16934369.0,11734369.0,2010-10-29,10.0
117,181,  Vanishing on 7th Street,2010,4.9,/title/tt1452628/,10000000.0,1671196.0,-8328804.0,2011-02-05,2.0
118,182,  Let Me In (I),2010,7.1,/title/tt1228987/,20000000.0,27093592.0,7093592.0,2010-10-01,10.0
119,183,  The Ward,2010,5.5,/title/tt1369706/,10000000.0,5343820.0,-4656180.0,2011-07-08,7.0
120,184,  Insidious (I),2010,6.8,/title/tt1591095/,1500000.0,100106454.0,98606454.0,2011-04-01,4.0
121,185,  Devil,2010,6.3,/title/tt1314655/,10000000.0,62695489.0,52695489.0,2010-09-17,9.0
122,186,  Stake Land,2010,6.4,/title/tt1464580/,650000.0,405380.0,-244620.0,2011-06-17,6.0
123,187,  Chain Letter,2010,4.1,/title/tt1148200/,3000000.0,855185.0,-2144815.0,2010-11-11,11.0
124,188,  Mother's Day (I),2010,6.2,/title/tt1434435/,11000000.0,863044.0,-10136956.0,2011-05-05,5.0
125,191,  My Soul to Take,2010,4.7,/title/tt0872230/,25000000.0,21500813.0,-3499187.0,2010-10-08,10.0
126,192,  We Are the Night,2010,6.2,/title/tt1692504/,6760000.0,2405336.0,-4354664.0,2010-10-28,10.0
127,194,  Paranormal Activity 2,2010,5.7,/title/tt1536044/,3000000.0,177512032.0,174512032.0,2010-10-22,10.0
128,195,  Saw 3D,2010,5.5,/title/tt1477076/,20000000.0,136151680.0,116151680.0,2010-10-29,10.0
129,196,  Trollhunter,2010,6.9,/title/tt1740707/,1990000.0,5341098.0,3351098.0,2010-10-29,10.0
130,198,  Don't Be Afraid of the Dark,2010,5.5,/title/tt1270761/,25000000.0,38269529.0,13269529.0,2011-08-26,8.0
131,201,  Gantz,2010,6.4,/title/tt1525835/,22000000.0,40568961.0,18568961.0,2011-01-29,1.0
132,202,  Beyond the Black Rainbow,2010,5.9,/title/tt1534085/,825000.0,56491.0,-768509.0,2011-04-22,4.0
133,204,  Dylan Dog: Dead of Night,2010,5.1,/title/tt1013860/,20000000.0,5782515.0,-14217485.0,2011-04-29,4.0
134,205,  Hobo with a Shotgun,2011,6.1,/title/tt1640459/,3000000.0,748453.0,-2251547.0,2011-05-12,5.0
135,206,  Silent House,2011,5.2,/title/tt1767382/,2000000.0,16527747.0,14527747.0,2012-03-09,3.0
136,207,  Red State,2011,6.1,/title/tt0873886/,4000000.0,1874460.0,-2125540.0,2011-09-30,9.0
137,209,  Take Shelter,2011,7.3,/title/tt1675192/,5000000.0,3741098.0,-1258902.0,2011-11-10,11.0
138,210,  The Rite,2011,6.0,/title/tt1161864/,37000000.0,96560591.0,59560591.0,2011-01-28,1.0
139,214,  The Roommate (I),2011,4.8,/title/tt1265990/,16000000.0,40492652.0,24492652.0,2011-02-04,2.0
140,215,  The Resident,2011,5.3,/title/tt1334102/,20000000.0,6742156.0,-13257844.0,2011-03-11,3.0
141,216,  Absentia (I),2011,5.8,/title/tt1610996/,70000.0,8555.0,-61445.0,2013-04-11,4.0
142,217,  Red Riding Hood,2011,5.4,/title/tt1486185/,42000000.0,90260376.0,48260376.0,2011-03-11,3.0
